"","Address","nearest_mrt","dist_to_nearest_mrt","mrt_1km"
"3761","240 BT PANJANG RING RD","20 BUKIT PANJANG RING ROAD BANGKIT LRT STATION (BP9) SINGAPORE 679939","0.175535300336885","6"
"3762","255 BANGKIT RD","20 BUKIT PANJANG RING ROAD BANGKIT LRT STATION (BP9) SINGAPORE 679939","0.0662635424819772","5"
"3763","668 HOUGANG AVE 8","80 HOUGANG CENTRAL HOUGANG MRT STATION (NE14) SINGAPORE 538758","1.00909788524401","0"
"3764","920 JURONG WEST ST 92","50 NANYANG AVENUE OCBC NANYANG TECHNOLOGICAL UNIVERSITY (NS3-01-10) SINGAPORE 639798","0.815975820046141","1"
"3765","40 HOLLAND DR","150 NORTH BUONA VISTA ROAD BUONA VISTA MRT STATION (CC22) SINGAPORE 139350","0.316396648144196","4"
"3766","519 SERANGOON NTH AVE 4","900 UPPER SERANGOON ROAD KOVAN MRT STATION (NE13) SINGAPORE 534799","1.757304418689","0"
"3767","824 WOODLANDS ST 81","11 WOODLANDS SQUARE WOODLANDS MRT STATION (TE2) SINGAPORE 737736","0.363455728857284","2"
"3768","282 YISHUN AVE 6","11 CANBERRA LINK CANBERRA MRT STATION (NS12) SINGAPORE 756972","1.05306044007369","0"
"3769","423 YISHUN AVE 11","301 YISHUN AVENUE 2 YISHUN MRT STATION (NS13) SINGAPORE 769093","1.65328980814953","0"
"3770","828 YISHUN ST 81","201 YISHUN AVENUE 2 KHATIB MRT STATION (NS14) SINGAPORE 769092","0.24421651378223","1"
"3771","405 YISHUN AVE 6","301 YISHUN AVENUE 2 YISHUN MRT STATION (NS13) SINGAPORE 769093","1.61408771922337","0"
"3772","387 YISHUN RING RD","301 YISHUN AVENUE 2 YISHUN MRT STATION (NS13) SINGAPORE 769093","1.36594720519364","0"
"3773","392 YISHUN AVE 6","301 YISHUN AVENUE 2 YISHUN MRT STATION (NS13) SINGAPORE 769093","1.58193458881144","0"
"3774","406 YISHUN AVE 6","301 YISHUN AVENUE 2 YISHUN MRT STATION (NS13) SINGAPORE 769093","1.63484992319857","0"
"3775","344 YISHUN AVE 11","301 YISHUN AVENUE 2 YISHUN MRT STATION (NS13) SINGAPORE 769093","1.03580045165015","0"
"3776","139 BEDOK RESERVOIR RD","651 BEDOK NORTH ROAD BEDOK NORTH MRT STATION (DT29) SINGAPORE 479481","0.467670590743632","2"
"3777","150 BEDOK RESERVOIR RD","30 KAKI BUKIT AVENUE 1 KAKI BUKIT MRT STATION (DT28) SINGAPORE 415804","0.487103885538147","2"
"3778","159 BISHAN ST 13","17 BISHAN PLACE BISHAN MRT STATION (CC15) SINGAPORE 579842","0.892511595374608","2"
"3779","506 BT BATOK ST 52","10 BUKIT BATOK CENTRAL BUKIT BATOK MRT STATION (NS2) SINGAPORE 659958","0.670733813860496","1"
"3780","21 LIM LIAK ST","110 ZION ROAD HAVELOCK MRT STATION (TE16) SINGAPORE 168604","0.3764276020575","5"
"3781","227 PENDING RD","9 PENDING ROAD PENDING LRT STATION (BP8) SINGAPORE 678296","0.132902647592556","5"
"3782","106 GANGSA RD","31 PETIR ROAD PETIR LRT STATION (BP7) SINGAPORE 678269","0.0865193915899451","8"
"3783","202 PETIR RD","9 PENDING ROAD PENDING LRT STATION (BP8) SINGAPORE 678296","0.593378025160478","2"
"3784","211 PETIR RD","9 PENDING ROAD PENDING LRT STATION (BP8) SINGAPORE 678296","0.56768176068532","2"
