"","X","lat","long","postal","x","y","address"
"370",384,1.31427860227337,103.771350557894,120352,21103.5526931826,32951.8534610327,"352 CLEMENTI AVENUE 2 CLEMENTI AVENUE 2 SHOPPING CENTRE SINGAPORE 120352"
"371",385,1.3047635676742,103.781697199348,130028,22255.0134741561,31899.7032664269,"28 DOVER CRESCENT DOVER GARDENS SINGAPORE 130028"
"372",386,1.31770281154049,103.769076731999,120345,20850.5072945533,33330.4915600438,"345 CLEMENTI AVENUE 5 SINGAPORE 120345"
"373",387,1.30973331229192,103.76863729776,121420,20801.5797042334,32449.2660012804,"420A CLEMENTI AVENUE 1 DBS CLEMENTI AVENUE 1/420A SINGAPORE 121420"
"374",388,1.31427860227337,103.771350557894,120352,21103.5526931826,32951.8534610327,"352 CLEMENTI AVENUE 2 CLEMENTI AVENUE 2 SHOPPING CENTRE SINGAPORE 120352"
"375",389,1.33212291013902,103.699070261789,628088,13059.5439040028,34925.306870034,"51 SOON LEE ROAD DBS MIGRANT WORKERS' CENTRE RECREATION CLUB SINGAPORE 628088"
"376",390,1.3192381141191,103.732882477141,608538,16822.4422356458,33500.3908376712,"27 PENJURU WALK PENJURU RECREATION CENTRE SINGAPORE 608538"
"377",391,1.32207201524401,103.727545771811,619396,16228.5316985529,33813.774220854,"5 JALAN PAPAN DBS WESTLITE DORMITORY (JALAN PAPAN) SINGAPORE 619396"
"378",392,1.32087635946694,103.727545977964,619392,16228.5490118396,33681.5645154808,"1 JALAN PAPAN SINGAPORE 619392"
"379",393,1.31800980644852,103.73194890136,608537,16718.5387248928,33364.5748836454,"23 PENJURU WALK CASSIA AT PENJURU SINGAPORE 608537"
"380",395,1.32124572258872,103.729969760603,619415,16498.2941953931,33722.3955109585,"2D JALAN PAPAN DBS AVERY LODGE SINGAPORE 619415"
"381",396,1.3192381141191,103.732882477141,608538,16822.4422356458,33500.3908376712,"27 PENJURU WALK PENJURU RECREATION CENTRE SINGAPORE 608538"
"382",397,1.3192381141191,103.732882477141,608538,16822.4422356458,33500.3908376712,"27 PENJURU WALK PENJURU RECREATION CENTRE SINGAPORE 608538"
"383",398,1.3192381141191,103.732882477141,608538,16822.4422356458,33500.3908376712,"27 PENJURU WALK PENJURU RECREATION CENTRE SINGAPORE 608538"
"384",399,1.33314578370484,103.695248109449,627851,12634.1832070183,35038.4348212369,"17 KIAN TECK LANE BLUE STARS DORMITORY SINGAPORE 627851"
"385",400,1.3192381141191,103.732882477141,608538,16822.4422356458,33500.3908376712,"27 PENJURU WALK PENJURU RECREATION CENTRE SINGAPORE 608538"
"386",401,1.32087635946694,103.727545977964,619392,16228.5490118396,33681.5645154808,"1 JALAN PAPAN SINGAPORE 619392"
"387",402,1.32087635946694,103.727545977964,619392,16228.5490118396,33681.5645154808,"1 JALAN PAPAN SINGAPORE 619392"
"388",403,1.31621113527515,103.732527239032,608557,16782.8941183882,33165.6841442473,"30 PENJURU PLACE JURONG PENJURU DORMITORY 2 SINGAPORE 608557"
"389",405,1.31395329677924,103.625815709037,637285,4906.86854334828,32916.7563113179,"70 TUAS SOUTH AVENUE 1 DBS TUAS VIEW DORMITORY SINGAPORE 637285"
"390",406,1.27164225840049,103.63351227878,636947,5763.0603002822,28238.1215317734,"3 TUAS SOUTH STREET 12 TUAS SOUTH DORMITORY SINGAPORE 636947"
"391",407,1.31395329677924,103.625815709037,637285,4906.86854334828,32916.7563113179,"70 TUAS SOUTH AVENUE 1 DBS TUAS VIEW DORMITORY SINGAPORE 637285"
"392",408,1.31100240690691,103.631572303038,638121,5547.50007421151,32590.4075767733,"11 TECH PARK CRESCENT TUAS TECHPARK SINGAPORE 638121"
"393",409,1.31146788847722,103.630340020449,638127,5410.3619843889,32641.8895427752,"5 TECH PARK CRESCENT TUAS TECHPARK SINGAPORE 638127"
"394",410,1.30808995572941,103.63154765251,637895,5544.73076557741,32268.3619204033,"2 TUAS SOUTH STREET 2 SPRINTECS INDUSTRIAL BUILDING SINGAPORE 637895"
"395",411,1.3106942813709,103.630190012756,638118,5393.66050445754,32556.3488610443,"14 TECH PARK CRESCENT TUAS TECHPARK SINGAPORE 638118"
"396",412,1.30091123508276,103.627789990003,637734,5126.4704835536,31474.6047507171,"115 TUAS VIEW WALK 1 WESTLINK TECHPARK SINGAPORE 637734"
"397",413,1.27030977810151,103.634163905611,636937,5835.57040314749,28090.7762606069,"12 TUAS SOUTH STREET 13 TUAS SOUTH RECREATION CENTRE SINGAPORE 636937"
"398",414,1.29891712474996,103.627532390173,637640,5097.78379010968,31254.1072111428,"21 TUAS VIEW SQUARE SINGAPORE 637640"
"399",415,1.30071425045564,103.628315270968,637738,5184.92813015357,31452.8183100577,"123 TUAS VIEW WALK 1 WESTLINK TECHPARK SINGAPORE 637738"
"400",416,1.29865806391236,103.62808808355,637778,5159.62557889707,31225.4563852604,"32 TUAS VIEW SQUARE SINGAPORE 637778"
"401",417,1.34180915377904,103.691512648994,640962,12218.5195547817,35996.4125105161,"962 JURONG WEST STREET 91 SINGAPORE 640962"
"402",418,1.34878489718303,103.703415655017,649486,13543.24002547,36767.682989737,"7 JURONG WEST AVENUE 5 SINGAPORE 649486"
"403",419,1.34169239214292,103.697174842118,640638,12848.6614737436,35983.4657739643,"638 JURONG WEST STREET 61 PIONEER MALL SINGAPORE 640638"
"404",420,1.34382260860561,103.682773793248,639798,11245.9900783114,36219.1089283042,"50 NANYANG AVENUE CORNELL-NANYANG INSTITUTE OF HOSPITALITY MANAGEMENT (BLK S3) (NTU) SINGAPORE 639798"
"405",421,1.32460664929081,103.678096359775,629117,10725.3069044938,34094.3313097991,"1 JOO KOON CIRCLE DBS NTUC BENOI WAREHOUSE CLUB SINGAPORE 629117"
