"","address","lat","long","postal","x","y"
"1","NS1",1.33315281585758,103.742286332403,609690,17869.0570516568,35038.9688695427
"2","NS2",1.34903331201636,103.749566478309,659958,18679.3223191258,36794.9260214306
"3","NS3",1.34458794516981,103.682758049858,639798,11244.2432221668,36303.7363341618
"4","NS4",1.38536316540225,103.744370779756,689810,18101.2472041463,40812.1216052417
"5","NS5",1.39753506936297,103.747405150236,689715,18438.9831173802,42158.0181021616
"6","NS7",1.42508698073648,103.762137459497,738702,20078.5865077013,45204.5168451127
"7","NS8",1.43252114855026,103.774074641403,739044,21407.0413211482,46026.5125302058
"8","NS9",1.43681962961519,103.786066799253,738343,22741.5981903812,46501.7861009166
"9","NS10",1.44058856161847,103.800990519771,738344,24402.3866267931,46918.506801948
"10","NS11",1.44905082158502,103.820046140211,759775,26522.9882623879,47854.1998395547
"11","NS12",1.44307664075699,103.829702590959,756972,27597.5969376964,47193.6008830499
"12","NS13",1.42944308477331,103.835005047246,769093,28187.6788169928,45686.0705381557
"13","NS14",1.41738337009565,103.832979908243,769092,27962.3108561579,44352.5679935999
"14","NS15",1.38175587099132,103.84494727118,569813,29294.1262330338,40413.0626359228
"15","NS16",1.36993284962262,103.84955809232,569812,29807.2611468043,39105.7359950263
"16","NS17",1.35083898784737,103.848143964542,579827,29649.8988074977,36994.4330169763
"17","NS18",1.3404690010277,103.846799083148,319756,29500.2349482412,35847.7719815206
"18","NS19",1.33262928096888,103.847502198048,319398,29578.4890669128,34980.8962922301
"19","NS20",1.32044079120154,103.843825618748,307642,29169.3297925005,33633.1535391063
"20","NS21",1.3123189224097,103.837984594021,228234,28519.2830723543,32735.0770371091
"21","NS22",1.30398013681715,103.832245244375,238878,27880.5476490632,31813.0165782962
"22","NS23",1.30026416739006,103.839085753124,238162,28641.8346576076,31402.1245223526
"23","NS24",1.29870132536119,103.846113677951,238826,29423.9804536467,31229.3163704202
"24","NS25",1.29293672227779,103.852585580366,179100,30144.2503791479,30591.9008128252
"25","NS26",1.28412561043658,103.851461712342,48618,30019.180527918,29617.6125848945
"26","NS27",1.276410298755,103.854595522263,18925,30367.9547207942,28764.4959340338
"27","NS28",1.27102703612006,103.862447515736,18948,31241.8260070179,28169.2510934137
"28","EW1",1.29856088351449,103.770758741678,117577,21037.6459141811,31213.869619485
"29","EW2",1.35330167637376,103.945144586749,529538,40444.9732025806,37267.0262664594
"30","EW3",1.34319707851829,103.953377214378,529888,41361.2281713123,36149.7527796105
"31","EW4",1.32718729074675,103.946348600798,467356,40579.0997793637,34379.4316836372
"32","EW5",1.32397996868158,103.929984495066,467347,38757.952049505,34024.7047772072
"33","EW6",1.3210381335934,103.912947930851,416551,36861.9614935443,33699.3440501876
"34","EW7",1.31978354916088,103.903225807255,409423,35779.9883453855,33560.5858968049
"35","EW8",1.31811149224527,103.893060771576,409006,34648.7236344032,33375.6688563768
"36","EW9",1.3164326118157,103.882906044385,388310,33518.6048692847,33190.002017457
"37","EW10",1.31148890998818,103.871386541754,387405,32236.6038438473,32643.3302382641
"38","EW11",1.30737781747063,103.862767633888,208699,31277.4062337531,32188.7337866109
"39","EW12",1.30046508509717,103.855706730933,188022,30491.6000699066,31424.3512713723
"40","EW13",1.29293672227779,103.852585580366,179100,30144.2503791479,30591.9008128252
"41","EW14",1.28412561043658,103.851461712342,48618,30019.180527918,29617.6125848945
"42","EW15",1.27656131737246,103.845725186759,69119,29380.7567437869,28781.1883335691
"43","EW16",1.28140504772213,103.839130979249,169037,28646.8726726929,29316.780396251
"44","EW17",1.28610253615775,103.827445112419,168731,27346.3322650846,29836.2044219468
"45","EW18",1.28963453412887,103.81674097205,158792,26155.053497511,30226.759782847
"46","EW19",1.29455085184931,103.806077155982,149729,24968.2673462247,30770.3911128063
"47","EW20",1.30250199924325,103.798228523336,149735,24094.7951433668,31649.5989169721
