"","address","lat","long","postal","x","y"
"1","289876",1.32415985259558,103.814165924136,289876,25868.5017133188,34044.3940400798
"2","069111",1.27935389427121,103.846195973221,69111,29433.1499879742,29089.9773092363
"3","469572",1.32034716834128,103.955480570427,469572,41595.4345044643,33623.132626934
"4","169982",1.28883089150258,103.827353892228,169982,27336.1809281698,30137.891893005
"5","208877",1.30734410946371,103.856888783769,208877,30623.1448179465,32184.9996254593
"6","588215",1.33945242854685,103.776007306701,588215,21621.868910674,35735.4350840729
"7","557269",1.36423252476886,103.86652701738,557269,31695.7058338877,38475.4424637333
"8","149644",1.30707478767354,103.800432545798,149644,24340.0894864583,32155.231093742
"9","424768",1.30941788760759,103.901825408227,424768,35624.1690376205,32414.3991606534
"10","468960",1.30726106591172,103.934799737098,468960,39293.9161662422,32176.0329168923
"11","402001",1.31672515005311,103.897977411392,402001,35195.9019180359,33222.3878217265
"12","199583",1.30314175320333,103.863877615334,199583,31400.9425575882,31720.3330156244
"13","277700",1.31107297402127,103.794876419662,277700,23721.7508704271,32597.3388542421
"14","397972",1.30734398370473,103.884017699319,397972,33642.3416882437,32185.0303474627
"15","048940",1.29964188181031,103.80010216304,148812,24303.3101027,31333.3389857
"16","069184",1.28033142727315,103.844747227479,69184,29271.9157984583,29198.0670940131
"17","229495",1.31191552031274,103.839569728721,229495,28695.6935986374,32690.4712911118
"18","198783",1.30614080746519,103.864099281276,198783,31425.6079072515,32051.9533432834
"19","118543",1.27569879325348,103.791619964293,118543,23359.273816498,28685.8491790779
"20","555945",1.36273680777483,103.866162163042,555945,31655.1041183863,38310.0531156808
"21","574419",1.37231949296183,103.829018145089,574419,27521.4142992953,39369.6331922505
"22","618499",1.33468266452814,103.721619258973,618499,15569.0315909274,35208.2267080583
"23","148813",1.30054407507427,103.797737980247,148813,24040.1990861287,31433.1024718955
"24","168898",1.28495105948938,103.832669748751,168898,27927.7905536769,29708.8793335166
"25","247792",1.2923422114207,103.831189023623,247792,27762.9988469621,30526.1548476219
"26","150006",1.28695274931203,103.808128005484,150006,25196.5006862748,29930.2297038008
"27","180270",1.30110201573423,103.854115779087,180270,30314.5408401964,31494.7782710623
"28","150120",1.28630594274136,103.804492637648,150120,24791.9139356269,29858.7134501822
"29","161001",1.2882310152805,103.839934168065,161001,28736.2590833632,30071.5608476754
"30","530105",1.35408273910145,103.890130407955,530105,34322.5106820343,37353.179481376
"31","090011",1.27736813225761,103.818651524334,90011,26367.6739153955,28870.403094504
"32","160112",1.28000480135122,103.82601329621,160112,27186.9811679078,29161.9488235991
"33","151115",1.28550445567433,103.821823256087,151115,26720.6663755551,29770.0739020091
"34","380117",1.32064636781982,103.88702414,380117,33976.8991302401,33655.9472074602
"35","310127",1.33810351452112,103.844732726726,310127,29270.2729431055,35586.20741673
"36","521137",1.34537347373749,103.944629422828,521137,40387.6812971048,36390.3618204296
"37","140159",1.29323624443735,103.802903871889,140159,24615.1067474168,30625.0326018222
"38","460016",1.32050083785242,103.935473637292,460016,39368.8552748002,33640.0242200717
"39","150163",1.28366139597446,103.817072717954,150163,26191.9697833164,29566.2807480916
"40","380017",1.31502841514731,103.87162041674,380017,32262.6259256126,33034.711007081
"41","270020",1.31099663218896,103.78823030662,270020,22982.1009905785,32588.9097050633
"42","462208",1.32478236985627,103.930570304559,462208,38823.1433841754,34113.4328592326
"43","310210",1.34021600857625,103.85487256444,310210,30398.7267572442,35819.8037894741
"44","460216",1.32706274205746,103.933217970746,460216,39117.7922474965,34365.5968239084
"45","310022",1.33538261333779,103.857003709119,310022,30635.9054063978,35285.3538286239
"46","564226",1.36681000469504,103.839142557804,564226,28648.1391456677,38760.4223709963
