"","Address","nearest_primary_schools","dist_to_nearest_primary_schools","primary_schools_1km"
"6288","290D BT BATOK EAST AVE 3","90 BUKIT BATOK EAST AVENUE 6 KNOWLEDGE PARK EDUCARE PTE LTD (KEMING PRIMARY SCHOOL) SINGAPORE 659762","0.185943039928561","2"
"6289","291D BT BATOK ST 24","90 BUKIT BATOK EAST AVENUE 6 KNOWLEDGE PARK EDUCARE PTE LTD (KEMING PRIMARY SCHOOL) SINGAPORE 659762","0.181935997158008","2"
"6290","291B BT BATOK ST 24","90 BUKIT BATOK EAST AVENUE 6 KNOWLEDGE PARK EDUCARE PTE LTD (KEMING PRIMARY SCHOOL) SINGAPORE 659762","0.224215823002834","2"
"6291","290E BT BATOK ST 24","90 BUKIT BATOK EAST AVENUE 6 KNOWLEDGE PARK EDUCARE PTE LTD (KEMING PRIMARY SCHOOL) SINGAPORE 659762","0.235921415635498","2"
"6292","628 BT BATOK CTRL","2 BUKIT BATOK STREET 52 LIANHUA PRIMARY SCHOOL SINGAPORE 659243","0.572202901297382","4"
"6293","158 JLN TECK WHYE","11 TECK WHYE WALK SHG STUDENT CARE (TECK WHYE PRIMARY SCHOOL) SINGAPORE 688261","0.549513745801459","2"
"6294","152 JLN TECK WHYE","31 SENJA ROAD MOE KINDERGARTEN @ WEST VIEW SINGAPORE 677742","0.633642964989561","2"
"6295","634 CHOA CHU KANG NTH 6","10 CHOA CHU KANG STREET 64 YEW TEE PRIMARY SCHOOL SINGAPORE 689100","0.140998390132984","4"
"6296","640 CHOA CHU KANG ST 64","10 CHOA CHU KANG STREET 64 YEW TEE PRIMARY SCHOOL SINGAPORE 689100","0.190556935168194","4"
"6297","642 CHOA CHU KANG ST 64","10 CHOA CHU KANG STREET 64 YEW TEE PRIMARY SCHOOL SINGAPORE 689100","0.269173883146075","4"
"6298","163 JLN TECK WHYE","11 TECK WHYE WALK SHG STUDENT CARE (TECK WHYE PRIMARY SCHOOL) SINGAPORE 688261","0.470459956892544","2"
"6299","56 PIPIT RD","1 SALLIM ROAD CANOSSA CONVENT SINGAPORE 387621","0.832360128088264","2"
"6300","166 HOUGANG AVE 1","298 LORONG AH SOO COMMIT LEARNING SCHOOLHOUSE @ PAYA LEBAR METHODIST GIRLS' SCHOOL SINGAPORE 536741","0.386488920287074","2"
"6301","4 CHANGI VILLAGE RD","5 PASIR RIS STREET 21 COMMIT LEARNING SCHOOLHOUSE @ PASIR RIS PRIMARY SINGAPORE 518968","3.30025419723457","0"
"6302","546 SERANGOON NTH AVE 3","21 SERANGOON NORTH AVENUE 4 KNOWLEDGE PARK EDUCARE (ROSYTH) PTE LTD SINGAPORE 555855","0.559324739091208","1"
"6303","720 TAMPINES ST 72","21 TAMPINES STREET 71 NASCANS @ POI CHING SINGAPORE 529067","0.214094032134182","2"
"6304","750 WOODLANDS AVE 4","31 WOODLANDS CIRCLE BIG HEART STUDENT CARE @ EVERGREEN SINGAPORE 738908","0.0697021416327754","5"
"6305","755 WOODLANDS AVE 4","31 WOODLANDS CIRCLE BIG HEART STUDENT CARE @ EVERGREEN SINGAPORE 738908","0.191246401748896","5"
"6306","787D WOODLANDS CRES","110 WOODLANDS CRESCENT RIVERSIDE PRIMARY SCHOOL SINGAPORE 737803","0.215134920405025","4"
"6307","786F WOODLANDS DR 60","110 WOODLANDS CRESCENT RIVERSIDE PRIMARY SCHOOL SINGAPORE 737803","0.180675526680043","4"
"6308","757 WOODLANDS AVE 4","31 WOODLANDS CIRCLE BIG HEART STUDENT CARE @ EVERGREEN SINGAPORE 738908","0.229589204134831","4"
"6309","798 WOODLANDS DR 72","11 WOODLANDS DRIVE 62 SHG STUDENT CARE (GREENWOOD PRIMARY SCHOOL) SINGAPORE 737942","0.413382173913142","3"
"6310","291E BT BATOK ST 24","90 BUKIT BATOK EAST AVENUE 6 KNOWLEDGE PARK EDUCARE PTE LTD (KEMING PRIMARY SCHOOL) SINGAPORE 659762","0.219267480647257","2"
"6311","290A BT BATOK ST 24","90 BUKIT BATOK EAST AVENUE 6 KNOWLEDGE PARK EDUCARE PTE LTD (KEMING PRIMARY SCHOOL) SINGAPORE 659762","0.2115801472505","2"
"6312","288D BT BATOK ST 25","90 BUKIT BATOK EAST AVENUE 6 KNOWLEDGE PARK EDUCARE PTE LTD (KEMING PRIMARY SCHOOL) SINGAPORE 659762","0.380367272684478","2"
"6313","288B BT BATOK ST 25","90 BUKIT BATOK EAST AVENUE 6 KNOWLEDGE PARK EDUCARE PTE LTD (KEMING PRIMARY SCHOOL) SINGAPORE 659762","0.520690577925818","2"
"6314","170 GANGSA RD","9 FAJAR ROAD YMCA STUDENT CARE CENTRE @ ZHENGHUA SINGAPORE 679002","0.360044776460473","4"
"6315","446 CHOA CHU KANG AVE 4","3 CHOA CHU KANG AVENUE 4 CONCORD PRIMARY SCHOOL SINGAPORE 689814","0.107940259053058","2"
"6316","159 JLN TECK WHYE","11 TECK WHYE WALK SHG STUDENT CARE (TECK WHYE PRIMARY SCHOOL) SINGAPORE 688261","0.496761439398587","2"
"6317","442 CHOA CHU KANG AVE 4","3 CHOA CHU KANG AVENUE 4 CONCORD PRIMARY SCHOOL SINGAPORE 689814","0.197322945551685","2"
"6318","167 HOUGANG AVE 1","298 LORONG AH SOO COMMIT LEARNING SCHOOLHOUSE @ PAYA LEBAR METHODIST GIRLS' SCHOOL SINGAPORE 536741","0.436845290512431","2"
"6319","172 HOUGANG AVE 1","298 LORONG AH SOO COMMIT LEARNING SCHOOLHOUSE @ PAYA LEBAR METHODIST GIRLS' SCHOOL SINGAPORE 536741","0.518649628473268","2"
"6320","173 HOUGANG AVE 1","298 LORONG AH SOO COMMIT LEARNING SCHOOLHOUSE @ PAYA LEBAR METHODIST GIRLS' SCHOOL SINGAPORE 536741","0.444427492227267","2"
"6321","917 HOUGANG AVE 9","9 HOUGANG AVENUE 8 RAFFLES STUDENT CARE CENTRE LLP (XINMIN PRIMARY) SINGAPORE 538784","0.366914628319535","5"
"6322","918 HOUGANG AVE 9","1 HOUGANG STREET 51 YIO CHU KANG PRIMARY SCHOOL SINGAPORE 538720","0.352671221073488","4"
"6323","158 HOUGANG ST 11","298 LORONG AH SOO COMMIT LEARNING SCHOOLHOUSE @ PAYA LEBAR METHODIST GIRLS' SCHOOL SINGAPORE 536741","0.509216209773666","1"
"6324","350 CORPORATION DR","161 CORPORATION WALK WHEE!CANOPUS STUDENT CARE @ LAKESIDE PRIMARY SCHOOL SINGAPORE 618310","0.120122244141475","4"
"6325","693 JURONG WEST CTRL 1","20 BOON LAY DRIVE BOON LAY GARDEN PRIMARY SCHOOL SINGAPORE 649930","0.790279896909226","5"
"6326","695 JURONG WEST CTRL 1","20 BOON LAY DRIVE BOON LAY GARDEN PRIMARY SCHOOL SINGAPORE 649930","0.655600549017394","4"
"6327","696 JURONG WEST CTRL 1","20 BOON LAY DRIVE BOON LAY GARDEN PRIMARY SCHOOL SINGAPORE 649930","0.65671128230256","4"
"6328","5 CHANGI VILLAGE RD","5 PASIR RIS STREET 21 COMMIT LEARNING SCHOOLHOUSE @ PASIR RIS PRIMARY SINGAPORE 518968","3.22830245928584","0"
"6329","741 TAMPINES ST 72","21 TAMPINES STREET 71 NASCANS @ POI CHING SINGAPORE 529067","0.359363969140028","2"
"6330","722 TAMPINES ST 72","21 TAMPINES STREET 71 NASCANS @ POI CHING SINGAPORE 529067","0.2586573435093","2"
"6331","723 TAMPINES ST 72","21 TAMPINES STREET 71 NASCANS @ POI CHING SINGAPORE 529067","0.25296591735744","2"
"6332","749 WOODLANDS CIRCLE","31 WOODLANDS CIRCLE BIG HEART STUDENT CARE @ EVERGREEN SINGAPORE 738908","0.0438220690689859","5"
"6333","753 WOODLANDS CIRCLE","31 WOODLANDS CIRCLE BIG HEART STUDENT CARE @ EVERGREEN SINGAPORE 738908","0.184726432249678","4"
"6334","787C WOODLANDS CRES","110 WOODLANDS CRESCENT RIVERSIDE PRIMARY SCHOOL SINGAPORE 737803","0.253447305219315","4"
"6335","786D WOODLANDS DR 60","110 WOODLANDS CRESCENT RIVERSIDE PRIMARY SCHOOL SINGAPORE 737803","0.113601614040855","4"
"6336","427 WOODLANDS ST 41","23 WOODLANDS AVENUE 1 SHG STUDENT CARE (FUCHUN PRIMARY SCHOOL) SINGAPORE 739063","0.733657872078247","2"
"6337","786E WOODLANDS DR 60","110 WOODLANDS CRESCENT RIVERSIDE PRIMARY SCHOOL SINGAPORE 737803","0.141176413486112","4"
"6338","613A BEDOK RESERVOIR RD","52 BEDOK RESERVOIR CRESCENT DAMAI PRIMARY SCHOOL SINGAPORE 479226","0.506962594030338","2"
"6339","291C BT BATOK ST 24","90 BUKIT BATOK EAST AVENUE 6 KNOWLEDGE PARK EDUCARE PTE LTD (KEMING PRIMARY SCHOOL) SINGAPORE 659762","0.24521418604713","2"
"6340","289A BT BATOK ST 25","90 BUKIT BATOK EAST AVENUE 6 KNOWLEDGE PARK EDUCARE PTE LTD (KEMING PRIMARY SCHOOL) SINGAPORE 659762","0.515226842958959","2"
