"","address","lat","long"
"1","309 ANG MO KIO AVE 1",1.3245,103.8572
"2","216 ANG MO KIO AVE 1",1.36619678831054,103.841505011903
"3","211 ANG MO KIO AVE 3",1.369196965617,103.841666636086
"4","202 ANG MO KIO AVE 3",1.36845752328237,103.844515336938
"5","235 ANG MO KIO AVE 3",1.36682360708102,103.83649123895
"6","232 ANG MO KIO AVE 3",1.36834606813391,103.837196046409
"7","308 ANG MO KIO AVE 1",1.36569665029696,103.844347269095
"8","220 ANG MO KIO AVE 1",1.36558833593063,103.840518883254
"9","219 ANG MO KIO AVE 1",1.36598198004505,103.840654039612
"10","247 ANG MO KIO AVE 3",1.3245,103.8572
"11","320 ANG MO KIO AVE 1",1.3655924562134,103.848386744168
"12","252 ANG MO KIO AVE 4",1.3245,103.8572
"13","223 ANG MO KIO AVE 1",1.36604808445916,103.838122716883
"14","230 ANG MO KIO AVE 3",1.36875041500147,103.837993360863
"15","329 ANG MO KIO AVE 3",1.3665990830055,103.846874423696
"16","313 ANG MO KIO AVE 3",1.36664972640598,103.850133665442
"17","117 ANG MO KIO AVE 4",1.3737170825368,103.835610469339
"18","110 ANG MO KIO AVE 4",1.37045937010888,103.837419259859
"19","343 ANG MO KIO AVE 3",1.36837474759489,103.849151113749
"20","345 ANG MO KIO AVE 3",1.36748702509964,103.849651723914
"21","346 ANG MO KIO AVE 3",1.36709586875167,103.84966230288
"22","121 ANG MO KIO AVE 3",1.36970226464475,103.84343759746
"23","129 ANG MO KIO AVE 3",1.36989498895756,103.842059049722
"24","130 ANG MO KIO AVE 3",1.37039791675237,103.841878840032
"25","128 ANG MO KIO AVE 3",1.37083202800001,103.843546990613
"26","127 ANG MO KIO AVE 3",1.37122322102767,103.843593321222
"27","126 ANG MO KIO AVE 3",1.37164990020956,103.843644176374
"28","403 ANG MO KIO AVE 10",1.36126901451361,103.854642365822
"29","404 ANG MO KIO AVE 10",1.36167767060852,103.854726492538
"30","405 ANG MO KIO AVE 10",1.36157912717139,103.853805386957
"31","417 ANG MO KIO AVE 10",1.36495953274783,103.855197097728
"32","418 ANG MO KIO AVE 10",1.3649460137791,103.854043379775
"33","419 ANG MO KIO AVE 10",1.36534669720177,103.85415182597
"34","441 ANG MO KIO AVE 10",1.36605027829032,103.854168309853
"35","442 ANG MO KIO AVE 10",1.36565326940253,103.855232195496
"36","443 ANG MO KIO AVE 10",1.36604388871674,103.855368968681
"37","444 ANG MO KIO AVE 10",1.36660045321147,103.855578790668
"38","450 ANG MO KIO AVE 10",1.36848406233048,103.855468149019
"39","435 ANG MO KIO AVE 10",1.36770367834269,103.854214313011
"40","433 ANG MO KIO AVE 10",1.36807652285135,103.854353042615
"41","434 ANG MO KIO AVE 10",1.3678915069194,103.85345502653
"42","424 ANG MO KIO AVE 3",1.36860660305158,103.850808805402
"43","425 ANG MO KIO AVE 3",1.36912241721255,103.851616057064
"44","466 ANG MO KIO AVE 10",1.36581960538764,103.857061606231
"45","471 ANG MO KIO AVE 10",1.36346600647245,103.856702918462
"46","474 ANG MO KIO AVE 10",1.36275784702216,103.858015323667
"47","570 ANG MO KIO AVE 3",1.3697435855576,103.856023138277
"48","586 ANG MO KIO AVE 3",1.37030352965928,103.853455898206
"49","455 ANG MO KIO AVE 10",1.3245,103.8572
"50","465 ANG MO KIO AVE 10",1.3662010408294,103.857200967235
"51","463 ANG MO KIO AVE 10",1.36694793518613,103.857487648675
"52","564 ANG MO KIO AVE 3",1.36984837555524,103.859404131956
"53","560 ANG MO KIO AVE 10",1.37081626777721,103.859192334256
"54","558 ANG MO KIO AVE 10",1.37123613284274,103.859192016193
"55","559 ANG MO KIO AVE 10",1.37099810674697,103.857856391877
"56","538 ANG MO KIO AVE 5",1.37559336678106,103.853347801104
"57","534 ANG MO KIO AVE 10",1.37405846295585,103.854168170426
"58","601 ANG MO KIO AVE 5",1.38104135523576,103.835131742647
"59","603 ANG MO KIO AVE 5",1.38020079047279,103.83575571651
"60","604 ANG MO KIO AVE 5",1.37986658053966,103.835976650638
"61","608 ANG MO KIO AVE 5",1.37858209980487,103.836760311526
"62","611 ANG MO KIO AVE 5",1.37829205312001,103.837251895809
"63","505 ANG MO KIO AVE 8",1.3748597302123,103.850224901404
"64","503 ANG MO KIO AVE 5",1.37546163119278,103.848942047568
"65","610 ANG MO KIO AVE 4",1.37939470957037,103.839157231326
"66","607 ANG MO KIO AVE 4",1.38046758670091,103.838816721629
"67","524 ANG MO KIO AVE 5",1.3733782941643,103.853042534069
"68","513 ANG MO KIO AVE 8",1.37274887735559,103.850191392582
"69","643 ANG MO KIO AVE 5",1.3775062692911,103.840557182306
"70","542 ANG MO KIO AVE 10",1.37473841331656,103.855876768354
"71","548 ANG MO KIO AVE 10",1.37291376311161,103.85704609864
"72","550 ANG MO KIO AVE 10",1.37360769512088,103.85820494173
"73","639 ANG MO KIO AVE 6",1.37993407100545,103.84246297225
"74","637 ANG MO KIO AVE 6",1.38036187235317,103.842334616577
"75","330 ANG MO KIO AVE 1",1.36243186402478,103.851030689651
"76","333 ANG MO KIO AVE 1",1.3613425564061,103.851698621454
"77","156 ANG MO KIO AVE 4",1.37549519574964,103.839947470774
"78","152 ANG MO KIO AVE 5",1.3766876256746,103.840159506601
"79","178 ANG MO KIO AVE 4",1.37619319942083,103.837038191014
"80","180 ANG MO KIO AVE 5",1.37667706408635,103.83836104381
"81","209 ANG MO KIO AVE 3",1.36897079641509,103.843284524871
"82","231 ANG MO KIO AVE 3",1.36856103572357,103.837525234344
