"","Address","nearest_supermarket","dist_to_nearest_supermarket","supermarket_1km"
"44","570 ANG MO KIO AVE 3","525 ANG MO KIO AVENUE 10 INTEMEDICAL 24 HR CLINIC SINGAPORE 560525","0.400857146179081","4"
"45","586 ANG MO KIO AVE 3","525 ANG MO KIO AVENUE 10 INTEMEDICAL 24 HR CLINIC SINGAPORE 560525","0.26518098779114","6"
"46","465 ANG MO KIO AVE 10","421 ANG MO KIO AVENUE 10 TECK GHEE HEARTLANDS SINGAPORE 560421","0.479886504407996","4"
"47","463 ANG MO KIO AVE 10","421 ANG MO KIO AVENUE 10 TECK GHEE HEARTLANDS SINGAPORE 560421","0.532360724647547","4"
"48","564 ANG MO KIO AVE 3","525 ANG MO KIO AVENUE 10 INTEMEDICAL 24 HR CLINIC SINGAPORE 560525","0.688072300011454","5"
"49","560 ANG MO KIO AVE 10","525 ANG MO KIO AVENUE 10 INTEMEDICAL 24 HR CLINIC SINGAPORE 560525","0.624163797772785","5"
"50","558 ANG MO KIO AVE 10","525 ANG MO KIO AVENUE 10 INTEMEDICAL 24 HR CLINIC SINGAPORE 560525","0.610480308105498","4"
"51","559 ANG MO KIO AVE 10","525 ANG MO KIO AVENUE 10 INTEMEDICAL 24 HR CLINIC SINGAPORE 560525","0.477925310337385","3"
"52","538 ANG MO KIO AVE 5","525 ANG MO KIO AVENUE 10 INTEMEDICAL 24 HR CLINIC SINGAPORE 560525","0.333649130247095","4"
"53","534 ANG MO KIO AVE 10","525 ANG MO KIO AVENUE 10 INTEMEDICAL 24 HR CLINIC SINGAPORE 560525","0.160271184098689","5"
"54","601 ANG MO KIO AVE 5","161 ANG MO KIO AVENUE 4 CM CENTRAL PTE LTD SINGAPORE 560161","0.899151610741515","1"
"55","603 ANG MO KIO AVE 5","161 ANG MO KIO AVENUE 4 CM CENTRAL PTE LTD SINGAPORE 560161","0.782945639402593","1"
"56","604 ANG MO KIO AVE 5","161 ANG MO KIO AVENUE 4 CM CENTRAL PTE LTD SINGAPORE 560161","0.738365410366098","1"
"57","608 ANG MO KIO AVE 5","161 ANG MO KIO AVENUE 4 CM CENTRAL PTE LTD SINGAPORE 560161","0.57089142037621","1"
"58","611 ANG MO KIO AVE 5","161 ANG MO KIO AVENUE 4 CM CENTRAL PTE LTD SINGAPORE 560161","0.515274246034955","1"
"59","505 ANG MO KIO AVE 8","525 ANG MO KIO AVENUE 10 INTEMEDICAL 24 HR CLINIC SINGAPORE 560525","0.476628531356738","5"
"60","503 ANG MO KIO AVE 5","712 ANG MO KIO AVENUE 6 SINGAPORE 560712","0.496046600846111","5"
"61","610 ANG MO KIO AVE 4","161 ANG MO KIO AVENUE 4 CM CENTRAL PTE LTD SINGAPORE 560161","0.575061344530163","1"
"62","607 ANG MO KIO AVE 4","161 ANG MO KIO AVENUE 4 CM CENTRAL PTE LTD SINGAPORE 560161","0.697333010904516","1"
"63","524 ANG MO KIO AVE 5","525 ANG MO KIO AVENUE 10 INTEMEDICAL 24 HR CLINIC SINGAPORE 560525","0.124741343373977","5"
"64","513 ANG MO KIO AVE 8","712 ANG MO KIO AVENUE 6 SINGAPORE 560712","0.376474633131093","7"
"65","643 ANG MO KIO AVE 5","161 ANG MO KIO AVENUE 4 CM CENTRAL PTE LTD SINGAPORE 560161","0.382583116941939","3"
"66","542 ANG MO KIO AVE 10","525 ANG MO KIO AVENUE 10 INTEMEDICAL 24 HR CLINIC SINGAPORE 560525","0.32112633389081","2"
