"","Address","nearest_supermarket","dist_to_nearest_supermarket","supermarket_1km"
"43","646 ANG MO KIO AVE 6","161 ANG MO KIO AVENUE 4 CM CENTRAL PTE LTD SINGAPORE 560161","0.745431897466332","2"
"44","328 ANG MO KIO AVE 3","316B ANG MO KIO STREET 31 TECK GHEE VISTA SINGAPORE 563316","0.222811908423491","7"
"45","588C ANG MO KIO ST 52","525 ANG MO KIO AVENUE 10 INTEMEDICAL 24 HR CLINIC SINGAPORE 560525","0.0938690240968484","5"
"46","588D ANG MO KIO ST 52","525 ANG MO KIO AVENUE 10 INTEMEDICAL 24 HR CLINIC SINGAPORE 560525","0.099265863013972","5"
"47","101 ANG MO KIO AVE 3","233 ANG MO KIO AVENUE 3 KEBUN BARU PALM VIEW SINGAPORE 560233","0.428117384085518","5"
"48","430 ANG MO KIO AVE 3","421 ANG MO KIO AVENUE 10 TECK GHEE HEARTLANDS SINGAPORE 560421","0.402364399856872","5"
"49","520 ANG MO KIO AVE 5","525 ANG MO KIO AVENUE 10 INTEMEDICAL 24 HR CLINIC SINGAPORE 560525","0.318206363220717","6"
"50","716 ANG MO KIO AVE 6","712 ANG MO KIO AVENUE 6 SINGAPORE 560712","0.135498870359128","7"
"51","588A ANG MO KIO ST 52","525 ANG MO KIO AVENUE 10 INTEMEDICAL 24 HR CLINIC SINGAPORE 560525","0.138274093799785","5"
"52","310A ANG MO KIO AVE 1","215 ANG MO KIO AVENUE 1 KITS4KIDS SPECIAL SCHOOL SINGAPORE 560215","0.289589679724764","7"
"53","613 ANG MO KIO AVE 4","161 ANG MO KIO AVENUE 4 CM CENTRAL PTE LTD SINGAPORE 560161","0.469954269412743","1"
"54","101 BEDOK NTH AVE 4","89 BEDOK NORTH STREET 4 SINGAPORE 460089","0.239749256864128","5"
"55","548 BEDOK NTH AVE 1","539A BEDOK NORTH STREET 3 OCBC BEDOK NORTH SINGAPORE 461539","0.19368942721037","10"
"56","75 BEDOK NTH RD","57 NEW UPPER CHANGI ROAD DBS NEW UPPER CHANGI ROAD SINGAPORE 461057","0.412685991921354","6"
"57","550 BEDOK NTH AVE 1","539A BEDOK NORTH STREET 3 OCBC BEDOK NORTH SINGAPORE 461539","0.128289179000419","8"
"58","1 BEDOK STH AVE 1","18 BEDOK SOUTH ROAD SINGAPORE 460018","0.115548713262121","5"
"59","151 BEDOK RESERVOIR RD","39 KAKI BUKIT AVENUE 3 HOMESTAY LODGE SINGAPORE 415920","0.332265007240742","5"
"60","54 CHAI CHEE ST","539A BEDOK NORTH STREET 3 OCBC BEDOK NORTH SINGAPORE 461539","0.587794047830362","6"
"61","50 CHAI CHEE ST","539A BEDOK NORTH STREET 3 OCBC BEDOK NORTH SINGAPORE 461539","0.48688144032417","8"
"62","105 BEDOK RESERVOIR RD","110 LENGKONG TIGA SINGAPORE 410110","0.641215608087978","5"
"63","528 BEDOK NTH ST 3","539A BEDOK NORTH STREET 3 OCBC BEDOK NORTH SINGAPORE 461539","0.380726524104634","5"
"64","534 BEDOK NTH ST 3","539A BEDOK NORTH STREET 3 OCBC BEDOK NORTH SINGAPORE 461539","0.104057911600728","6"
"65","77 BEDOK NTH RD","57 NEW UPPER CHANGI ROAD DBS NEW UPPER CHANGI ROAD SINGAPORE 461057","0.496957129800666","6"
"66","116 BEDOK RESERVOIR RD","632 BEDOK RESERVOIR ROAD EUNOS GROVE SINGAPORE 470632","0.622771419200205","7"
"67","18 BEDOK STH RD","1D FIGARO STREET OPERA ESTATE SINGAPORE 458322","0.442069759950619","9"
"68","40 CHAI CHEE AVE","29 CHAI CHEE AVENUE ANSAR GARDEN SINGAPORE 460029","0.275623529639947","8"
"69","57 NEW UPP CHANGI RD","57 NEW UPPER CHANGI ROAD DBS NEW UPPER CHANGI ROAD SINGAPORE 461057","0","5"
"70","105 BEDOK NTH AVE 4","89 BEDOK NORTH STREET 4 SINGAPORE 460089","0.23023078009684","4"
"71","709 BEDOK RESERVOIR RD","745 BEDOK RESERVOIR ROAD DBS NTUC BEDOK RESERVOIR ROAD SINGAPORE 470745","0.231736900850136","5"
"72","42 CHAI CHEE ST","29 CHAI CHEE AVENUE ANSAR GARDEN SINGAPORE 460029","0.392229916382537","8"
"73","55 CHAI CHEE DR","29 CHAI CHEE AVENUE ANSAR GARDEN SINGAPORE 460029","0.639647005377575","6"
