"","Address","nearest_mrt","dist_to_nearest_mrt","mrt_1km"
"5769","18 HOUGANG AVE 3","900 UPPER SERANGOON ROAD KOVAN MRT STATION (NE13) SINGAPORE 534799","0.83544618126323","2"
"5770","540 HOUGANG AVE 8","10 SENGKANG CENTRAL BUANGKOK MRT STATION (NE15) SINGAPORE 545061","0.598964397715107","4"
"5771","831 HOUGANG CTRL","80 HOUGANG CENTRAL HOUGANG MRT STATION (NE14) SINGAPORE 538758","0.249691663479465","1"
"5772","453 HOUGANG AVE 10","10 SENGKANG CENTRAL BUANGKOK MRT STATION (NE15) SINGAPORE 545061","0.577930864759645","4"
"5773","170 HOUGANG AVE 1","900 UPPER SERANGOON ROAD KOVAN MRT STATION (NE13) SINGAPORE 534799","1.08028154964483","0"
"5774","405 HOUGANG AVE 10","80 HOUGANG CENTRAL HOUGANG MRT STATION (NE14) SINGAPORE 538758","0.547961337953693","1"
"5775","370 HOUGANG ST 31","900 UPPER SERANGOON ROAD KOVAN MRT STATION (NE13) SINGAPORE 534799","0.644988586335211","2"
"5776","320 HOUGANG AVE 5","80 HOUGANG CENTRAL HOUGANG MRT STATION (NE14) SINGAPORE 538758","0.841302015209888","1"
"5777","985B BUANGKOK CRES","80 SENGKANG EAST AVENUE TONGKANG LRT STATION (SW7) SINGAPORE 545050","1.12804205018642","0"
"5778","913 HOUGANG ST 91","10 SENGKANG CENTRAL BUANGKOK MRT STATION (NE15) SINGAPORE 545061","1.14347548574014","0"
"5779","979B BUANGKOK CRES","80 SENGKANG EAST AVENUE TONGKANG LRT STATION (SW7) SINGAPORE 545050","1.31036031309272","0"
"5780","964 HOUGANG AVE 9","80 SENGKANG EAST AVENUE TONGKANG LRT STATION (SW7) SINGAPORE 545050","1.64278535692075","0"
"5781","576 HOUGANG AVE 4","10 SENGKANG CENTRAL BUANGKOK MRT STATION (NE15) SINGAPORE 545061","0.888409071781913","1"
"5782","521 HOUGANG AVE 6","80 HOUGANG CENTRAL HOUGANG MRT STATION (NE14) SINGAPORE 538758","0.282542395669469","1"
"5783","129 LOR AH SOO","900 UPPER SERANGOON ROAD KOVAN MRT STATION (NE13) SINGAPORE 534799","1.00383506360515","0"
"5784","122 HOUGANG AVE 1","900 UPPER SERANGOON ROAD KOVAN MRT STATION (NE13) SINGAPORE 534799","0.726632371750564","1"
"5785","312 HOUGANG AVE 5","80 HOUGANG CENTRAL HOUGANG MRT STATION (NE14) SINGAPORE 538758","0.681717464713453","1"
"5786","853 HOUGANG CTRL","80 HOUGANG CENTRAL HOUGANG MRT STATION (NE14) SINGAPORE 538758","0.292252605385993","1"
"5787","215A JURONG EAST ST 21","151 BOON LAY WAY CHINESE GARDEN MRT STATION (EW25) SINGAPORE 609959","0.710298796717755","2"
"5788","208 JURONG EAST ST 21","10 JURONG EAST STREET 12 JURONG EAST MRT STATION (EW24 / NS1) SINGAPORE 609690","0.589688068638969","1"
"5789","20 TEBAN GDNS RD","10 JURONG EAST STREET 12 JURONG EAST MRT STATION (EW24 / NS1) SINGAPORE 609690","1.12412259138427","0"
"5790","340 JURONG EAST AVE 1","151 BOON LAY WAY CHINESE GARDEN MRT STATION (EW25) SINGAPORE 609959","0.891067794781959","1"
"5791","288D JURONG EAST ST 21","10 JURONG EAST STREET 12 JURONG EAST MRT STATION (EW24 / NS1) SINGAPORE 609690","0.758273742267301","1"
"5792","286D TOH GUAN RD","10 JURONG EAST STREET 12 JURONG EAST MRT STATION (EW24 / NS1) SINGAPORE 609690","0.760427007739777","1"
"5793","327 JURONG EAST ST 31","151 BOON LAY WAY CHINESE GARDEN MRT STATION (EW25) SINGAPORE 609959","0.846186496524776","1"
"5794","323 JURONG EAST ST 31","151 BOON LAY WAY CHINESE GARDEN MRT STATION (EW25) SINGAPORE 609959","0.783019218132388","1"
"5795","287B JURONG EAST ST 21","10 JURONG EAST STREET 12 JURONG EAST MRT STATION (EW24 / NS1) SINGAPORE 609690","0.628768024089151","1"
"5796","114 HO CHING RD","201 BOON LAY WAY LAKESIDE MRT STATION (EW26) SINGAPORE 649845","1.21744974674341","0"
"5797","473 JURONG WEST ST 41","201 BOON LAY WAY LAKESIDE MRT STATION (EW26) SINGAPORE 649845","0.546417327837046","1"
"5798","536 JURONG WEST ST 52","201 BOON LAY WAY LAKESIDE MRT STATION (EW26) SINGAPORE 649845","0.784402647017469","1"
"5799","414 JURONG WEST ST 42","201 BOON LAY WAY LAKESIDE MRT STATION (EW26) SINGAPORE 649845","1.10839441991688","0"
"5800","944 JURONG WEST ST 91","50 NANYANG AVENUE OCBC NANYANG TECHNOLOGICAL UNIVERSITY (NS3-01-10) SINGAPORE 639798","0.774005867100646","1"
"5801","922 JURONG WEST ST 92","31 JURONG WEST STREET 63 PIONEER MRT STATION (EW28) SINGAPORE 648310","0.903195076067643","2"
"5802","717 JURONG WEST ST 71","31 JURONG WEST STREET 63 PIONEER MRT STATION (EW28) SINGAPORE 648310","0.603881011166911","1"
"5803","923 JURONG WEST ST 92","31 JURONG WEST STREET 63 PIONEER MRT STATION (EW28) SINGAPORE 648310","0.864761637568016","2"
"5804","977 JURONG WEST ST 93","31 JURONG WEST STREET 63 PIONEER MRT STATION (EW28) SINGAPORE 648310","0.445751178845742","1"
"5805","554 JURONG WEST ST 42","201 BOON LAY WAY LAKESIDE MRT STATION (EW26) SINGAPORE 649845","1.05643632113686","0"
"5806","465 JURONG WEST ST 41","201 BOON LAY WAY LAKESIDE MRT STATION (EW26) SINGAPORE 649845","0.699869710761244","1"
"5807","546 JURONG WEST ST 42","201 BOON LAY WAY LAKESIDE MRT STATION (EW26) SINGAPORE 649845","1.13572775609152","0"
"5808","642 JURONG WEST ST 61","31 JURONG WEST STREET 63 PIONEER MRT STATION (EW28) SINGAPORE 648310","0.350946718113808","1"
