"","Address","nearest_primary_schools","dist_to_nearest_primary_schools","primary_schools_1km"
"39","470 ANG MO KIO AVE 10","3 ANG MO KIO AVENUE 10 PRO-TEACH SCHOOLCARE (TOWNSVILLE) LLP SINGAPORE 569730","0.565298802812165","3"
"40","463 ANG MO KIO AVE 10","1 ANG MO KIO STREET 32 TECK GHEE PRIMARY SCHOOL SINGAPORE 569299","0.742371471530297","3"
"41","207 ANG MO KIO AVE 1","20 ANG MO KIO AVENUE 3 ANG MO KIO PRIMARY SCHOOL SINGAPORE 569920","0.529191985407215","2"
"42","304 ANG MO KIO AVE 1","1 ANG MO KIO STREET 32 TECK GHEE PRIMARY SCHOOL SINGAPORE 569299","0.668080753083634","3"
"43","646 ANG MO KIO AVE 6","200 ANG MO KIO AVENUE 5 SHG STUDENT CARE (MAYFLOWER PRIMARY SCHOOL) SINGAPORE 569878","0.340133164202472","2"
"44","328 ANG MO KIO AVE 3","1 ANG MO KIO STREET 32 TECK GHEE PRIMARY SCHOOL SINGAPORE 569299","0.362520706715335","4"
"45","588C ANG MO KIO ST 52","5 ANG MO KIO STREET 52 MOE KINDERGARTEN @ JING SHAN SINGAPORE 569228","0.213012486086444","2"
"46","588D ANG MO KIO ST 52","5 ANG MO KIO STREET 52 MOE KINDERGARTEN @ JING SHAN SINGAPORE 569228","0.235613399171771","2"
"47","101 ANG MO KIO AVE 3","20 ANG MO KIO AVENUE 3 ANG MO KIO PRIMARY SCHOOL SINGAPORE 569920","0.106180279294134","3"
"48","430 ANG MO KIO AVE 3","5 ANG MO KIO STREET 52 MOE KINDERGARTEN @ JING SHAN SINGAPORE 569228","0.308706264657904","2"
"49","520 ANG MO KIO AVE 5","5 ANG MO KIO STREET 52 MOE KINDERGARTEN @ JING SHAN SINGAPORE 569228","0.214854901464117","3"
"50","716 ANG MO KIO AVE 6","200 ANG MO KIO AVENUE 5 SHG STUDENT CARE (MAYFLOWER PRIMARY SCHOOL) SINGAPORE 569878","0.624950184769281","4"
"51","588A ANG MO KIO ST 52","5 ANG MO KIO STREET 52 MOE KINDERGARTEN @ JING SHAN SINGAPORE 569228","0.12539096836347","2"
"52","310A ANG MO KIO AVE 1","20 ANG MO KIO AVENUE 3 ANG MO KIO PRIMARY SCHOOL SINGAPORE 569920","0.686900986181902","2"
"53","613 ANG MO KIO AVE 4","200 ANG MO KIO AVENUE 5 SHG STUDENT CARE (MAYFLOWER PRIMARY SCHOOL) SINGAPORE 569878","0.488116215952109","3"
"54","101 BEDOK NTH AVE 4","1602 BEDOK NORTH AVENUE 4 YMCA STUDENT CARE CENTRE @ ST ANTHONY'S CANOSSIAN SINGAPORE 469701","0.30143440752545","4"
"55","548 BEDOK NTH AVE 1","307 BEDOK NORTH ROAD MOE KINDERGARTEN @ FENGSHAN SINGAPORE 469680","0.600577926219653","4"
"56","75 BEDOK NTH RD","1 BEDOK SOUTH AVENUE 2 BEDOK GREEN PRIMARY SCHOOL SINGAPORE 469317","0.68761681242765","2"
"57","550 BEDOK NTH AVE 1","56 BEDOK NORTH STREET 3 BIG HEART STUDENT CARE @ YU NENG SINGAPORE 469623","0.617552876744607","4"
"58","1 BEDOK STH AVE 1","1 BEDOK SOUTH AVENUE 2 BEDOK GREEN PRIMARY SCHOOL SINGAPORE 469317","0.545428966520883","1"
"59","151 BEDOK RESERVOIR RD","50 BEDOK RESERVOIR ROAD TELOK KURAU PRIMARY SCHOOL SINGAPORE 479239","0.508890080016813","1"
"60","54 CHAI CHEE ST","52 BEDOK RESERVOIR CRESCENT BIG HEART STUDENT CARE @ DAMAI SINGAPORE 479226","0.64236550302714","1"
"61","50 CHAI CHEE ST","52 BEDOK RESERVOIR CRESCENT BIG HEART STUDENT CARE @ DAMAI SINGAPORE 479226","0.673264462630357","1"
"62","105 BEDOK RESERVOIR RD","50 BEDOK RESERVOIR ROAD TELOK KURAU PRIMARY SCHOOL SINGAPORE 479239","0.293062201369399","2"
"63","528 BEDOK NTH ST 3","56 BEDOK NORTH STREET 3 BIG HEART STUDENT CARE @ YU NENG SINGAPORE 469623","0.476048967484858","4"
"64","534 BEDOK NTH ST 3","52 BEDOK RESERVOIR CRESCENT BIG HEART STUDENT CARE @ DAMAI SINGAPORE 479226","0.463074409332077","3"
"65","77 BEDOK NTH RD","1602 BEDOK NORTH AVENUE 4 YMCA STUDENT CARE CENTRE @ ST ANTHONY'S CANOSSIAN SINGAPORE 469701","0.738689495843255","2"
"66","116 BEDOK RESERVOIR RD","50 BEDOK RESERVOIR ROAD TELOK KURAU PRIMARY SCHOOL SINGAPORE 479239","0.255118894740251","2"
"67","18 BEDOK STH RD","48 FIDELIO STREET OPERA ESTATE PRIMARY SCHOOL SINGAPORE 458436","0.645518270555774","1"
"68","40 CHAI CHEE AVE","307 BEDOK NORTH ROAD MOE KINDERGARTEN @ FENGSHAN SINGAPORE 469680","0.736740767758187","2"
"69","57 NEW UPP CHANGI RD","1 BEDOK SOUTH AVENUE 2 BEDOK GREEN PRIMARY SCHOOL SINGAPORE 469317","0.420664856213912","2"
"70","105 BEDOK NTH AVE 4","350 BEDOK NORTH AVENUE 3 RED SWASTIKA WELFARE CLINIC SINGAPORE 469719","0.223539352389447","4"
"71","709 BEDOK RESERVOIR RD","52 BEDOK RESERVOIR CRESCENT BIG HEART STUDENT CARE @ DAMAI SINGAPORE 479226","0.119874945262988","1"
"72","42 CHAI CHEE ST","307 BEDOK NORTH ROAD MOE KINDERGARTEN @ FENGSHAN SINGAPORE 469680","0.716189643711354","4"
"73","55 CHAI CHEE DR","20 SIGLAP VIEW SAINT STEPHEN'S SCHOOL SINGAPORE 455789","0.918141726601774","3"
"74","2 BEDOK STH AVE 1","1 BEDOK SOUTH AVENUE 2 BEDOK GREEN PRIMARY SCHOOL SINGAPORE 469317","0.562793368672396","2"
"75","37 CHAI CHEE AVE","48 FIDELIO STREET OPERA ESTATE PRIMARY SCHOOL SINGAPORE 458436","0.732848114570976","2"
"76","425 BEDOK NTH RD","307 BEDOK NORTH ROAD MOE KINDERGARTEN @ FENGSHAN SINGAPORE 469680","0.329002138665905","3"
"77","117 BEDOK NTH RD","1602 BEDOK NORTH AVENUE 4 YMCA STUDENT CARE CENTRE @ ST ANTHONY'S CANOSSIAN SINGAPORE 469701","0.55208030579626","5"
"78","423 BEDOK NTH AVE 1","307 BEDOK NORTH ROAD MOE KINDERGARTEN @ FENGSHAN SINGAPORE 469680","0.530150696025789","3"
"79","533 BEDOK NTH ST 3","52 BEDOK RESERVOIR CRESCENT BIG HEART STUDENT CARE @ DAMAI SINGAPORE 479226","0.375337037152236","3"
"80","149 BEDOK RESERVOIR RD","50 BEDOK RESERVOIR ROAD TELOK KURAU PRIMARY SCHOOL SINGAPORE 479239","0.564503687211063","2"
"81","35 BEDOK STH AVE 2","1 BEDOK SOUTH AVENUE 2 BEDOK GREEN PRIMARY SCHOOL SINGAPORE 469317","0.243893151725136","2"
"82","42 BEDOK STH RD","1 BEDOK SOUTH AVENUE 2 BEDOK GREEN PRIMARY SCHOOL SINGAPORE 469317","0.384720229730136","2"
"83","34 BEDOK STH AVE 2","1 BEDOK SOUTH AVENUE 2 BEDOK GREEN PRIMARY SCHOOL SINGAPORE 469317","0.16347903647441","2"
"84","7 BEDOK STH AVE 2","1 BEDOK SOUTH AVENUE 2 BEDOK GREEN PRIMARY SCHOOL SINGAPORE 469317","0.278718410728111","2"
"85","8 BEDOK STH AVE 2","1 BEDOK SOUTH AVENUE 2 BEDOK GREEN PRIMARY SCHOOL SINGAPORE 469317","0.214706360183236","2"
"86","80 BEDOK NTH RD","1 BEDOK SOUTH AVENUE 2 BEDOK GREEN PRIMARY SCHOOL SINGAPORE 469317","0.637719884703939","4"
"87","78 BEDOK NTH RD","1 BEDOK SOUTH AVENUE 2 BEDOK GREEN PRIMARY SCHOOL SINGAPORE 469317","0.538061534975388","2"
"88","135 BEDOK RESERVOIR RD","50 BEDOK RESERVOIR ROAD TELOK KURAU PRIMARY SCHOOL SINGAPORE 479239","0.292732881094802","1"
"89","148 BEDOK RESERVOIR RD","50 BEDOK RESERVOIR ROAD TELOK KURAU PRIMARY SCHOOL SINGAPORE 479239","0.490179650376388","1"
"90","81 BEDOK NTH RD","1 BEDOK SOUTH AVENUE 2 BEDOK GREEN PRIMARY SCHOOL SINGAPORE 469317","0.676530330107781","4"
"91","142 BEDOK RESERVOIR RD","50 BEDOK RESERVOIR ROAD TELOK KURAU PRIMARY SCHOOL SINGAPORE 479239","0.573321273597476","2"
"92","124 BEDOK NTH RD","1 BEDOK SOUTH AVENUE 2 BEDOK GREEN PRIMARY SCHOOL SINGAPORE 469317","0.660002255988449","5"
"93","705 BEDOK NTH RD","52 BEDOK RESERVOIR CRESCENT BIG HEART STUDENT CARE @ DAMAI SINGAPORE 479226","0.298306055030319","1"
"94","554 BEDOK NTH ST 3","56 BEDOK NORTH STREET 3 BIG HEART STUDENT CARE @ YU NENG SINGAPORE 469623","0.453430192174361","4"
"95","602 BEDOK RESERVOIR RD","50 BEDOK RESERVOIR ROAD TELOK KURAU PRIMARY SCHOOL SINGAPORE 479239","0.202241088845675","1"
"96","508 BEDOK NTH AVE 3","56 BEDOK NORTH STREET 3 BIG HEART STUDENT CARE @ YU NENG SINGAPORE 469623","0.0855774706897242","4"
"97","720 BEDOK RESERVOIR RD","52 BEDOK RESERVOIR CRESCENT BIG HEART STUDENT CARE @ DAMAI SINGAPORE 479226","0.408355279894182","2"
